From,To,Tolerance,Upper,Lower
1250,1600,d9,-0.39,-0.7
1600,2000,d9,-0.43,-0.8
2000,2500,d9,-0.48,-0.92
2500,3150,d9,-0.52,-1.06
0,3,e10,-0.014,-0.054
3,6,e10,-0.02,-0.068
6,10,e10,-0.025,-0.083
10,18,e10,-0.032,-0.102
18,30,e10,-0.04,-0.124
30,50,e10,-0.05,-0.15
50,80,e10,-0.06,-0.18
80,120,e10,-0.072,-0.212
120,180,e10,-0.085,-0.245
180,250,e10,-0.1,-0.285
250,315,e10,-0.11,-0.32
315,400,e10,-0.125,-0.355
400,500,e10,-0.135,-0.385
500,630,e10,-0.145,-0.425
630,800,e10,-0.16,-0.48
800,1000,e10,-0.17,-0.53
1000,1250,e10,-0.195,-0.615
1250,1600,e10,-0.22,-0.72
1600,2000,e10,-0.24,-0.84
2000,2500,e10,-0.26,-0.96
2500,3150,e10,-0.29,-1.15
0,3,e5,-0.014,-0.018
3,6,e5,-0.02,-0.025
6,10,e5,-0.025,-0.031
10,18,e5,-0.032,-0.04
18,30,e5,-0.04,-0.049
30,50,e5,-0.05,-0.061
50,80,e5,-0.06,-0.073
80,120,e5,-0.072,-0.087
120,180,e5,-0.085,-0.103
180,250,e5,-0.1,-0.12
250,315,e5,-0.11,-0.133
315,400,e5,-0.125,-0.15
400,500,e5,-0.135,-0.162
0,3,e6,-0.014,-0.02
3,6,e6,-0.02,-0.028
6,10,e6,-0.025,-0.034
10,18,e6,-0.032,-0.043
18,30,e6,-0.04,-0.053
30,50,e6,-0.05,-0.066
50,80,e6,-0.06,-0.079
80,120,e6,-0.072,-0.094
120,180,e6,-0.085,-0.11
180,250,e6,-0.1,-0.129
250,315,e6,-0.11,-0.142
315,400,e6,-0.125,-0.161
400,500,e6,-0.135,-0.175
500,630,e6,-0.145,-0.189
630,800,e6,-0.16,-0.21
800,1000,e6,-0.17,-0.226
1000,1250,e6,-0.195,-0.261
1250,1600,e6,-0.22,-0.298
1600,2000,e6,-0.24,-0.332
2000,2500,e6,-0.26,-0.37
2500,3150,e6,-0.29,-0.425
0,3,e7,-0.014,-0.024
3,6,e7,-0.02,-0.032
6,10,e7,-0.025,-0.04
10,18,e7,-0.032,-0.05
18,30,e7,-0.04,-0.061
30,50,e7,-0.05,-0.075
50,80,e7,-0.06,-0.09
80,120,e7,-0.072,-0.107
120,180,e7,-0.085,-0.125
180,250,e7,-0.1,-0.146
250,315,e7,-0.11,-0.162
315,400,e7,-0.125,-0.182
400,500,e7,-0.135,-0.198
500,630,e7,-0.145,-0.215
630,800,e7,-0.16,-0.24
800,1000,e7,-0.17,-0.26
1000,1250,e7,-0.195,-0.3
1250,1600,e7,-0.22,-0.345
1600,2000,e7,-0.24,-0.39
2000,2500,e7,-0.26,-0.435
2500,3150,e7,-0.29,-0.5
0,3,e8,-0.014,-0.028
3,6,e8,-0.02,-0.038
6,10,e8,-0.025,-0.047
10,18,e8,-0.032,-0.059
18,30,e8,-0.04,-0.073
30,50,e8,-0.05,-0.089
50,80,e8,-0.06,-0.106
80,120,e8,-0.072,-0.126
120,180,e8,-0.085,-0.148
180,250,e8,-0.1,-0.172
250,315,e8,-0.11,-0.191
315,400,e8,-0.125,-0.214
400,500,e8,-0.135,-0.232
500,630,e8,-0.145,-0.255
630,800,e8,-0.16,-0.285
800,1000,e8,-0.17,-0.31
1000,1250,e8,-0.195,-0.36
1250,1600,e8,-0.22,-0.415
1600,2000,e8,-0.24,-0.47
2000,2500,e8,-0.26,-0.54
2500,3150,e8,-0.29,-0.62
0,3,e9,-0.014,-0.039
3,6,e9,-0.02,-0.05
6,10,e9,-0.025,-0.061
10,18,e9,-0.032,-0.075
18,30,e9,-0.04,-0.092
30,50,e9,-0.05,-0.112
50,80,e9,-0.06,-0.134
80,120,e9,-0.072,-0.159
120,180,e9,-0.085,-0.185
180,250,e9,-0.1,-0.215
250,315,e9,-0.11,-0.24
315,400,e9,-0.125,-0.265
400,500,e9,-0.135,-0.29
500,630,e9,-0.145,-0.32
630,800,e9,-0.16,-0.36
800,1000,e9,-0.17,-0.4
1000,1250,e9,-0.195,-0.455
1250,1600,e9,-0.22,-0.53
1600,2000,e9,-0.24,-0.61
2000,2500,e9,-0.26,-0.7
2500,3150,e9,-0.29,-0.83
0,3,ef10,-0.01,-0.05
3,6,ef10,-0.014,-0.062
6,10,ef10,-0.018,-0.076
0,3,ef3,-0.01,-0.012
3,6,ef3,-0.014,-0.0165
6,10,ef3,-0.018,-0.0205
0,3,ef4,-0.01,-0.013
3,6,ef4,-0.014,-0.018
6,10,ef4,-0.018,-0.022
0,3,ef5,-0.01,-0.014
3,6,ef5,-0.014,-0.019
6,10,ef5,-0.018,-0.024
0,3,ef6,-0.01,-0.016
3,6,ef6,-0.014,-0.022
6,10,ef6,-0.018,-0.027
0,3,ef7,-0.01,-0.02
3,6,ef7,-0.014,-0.026
6,10,ef7,-0.018,-0.033
0,3,ef8,-0.01,-0.024
3,6,ef8,-0.014,-0.032
6,10,ef8,-0.018,-0.04
0,3,ef9,-0.01,-0.035
3,6,ef9,-0.014,-0.044
6,10,ef9,-0.018,-0.054
0,3,f10,-0.006,-0.046
3,6,f10,-0.01,-0.058
6,10,f10,-0.013,-0.071
10,18,f10,-0.016,-0.086
18,30,f10,-0.02,-0.104
30,50,f10,-0.025,-0.125
0,3,f3,-0.006,-0.008
3,6,f3,-0.01,-0.0125
6,10,f3,-0.013,-0.0155
10,18,f3,-0.016,-0.019
18,30,f3,-0.02,-0.024
30,50,f3,-0.025,-0.029
0,3,f4,-0.006,-0.009
3,6,f4,-0.01,-0.014
6,10,f4,-0.013,-0.017
10,18,f4,-0.016,-0.021
18,30,f4,-0.02,-0.026
30,50,f4,-0.025,-0.032
50,80,f4,-0.03,-0.038
80,120,f4,-0.036,-0.046
120,180,f4,-0.043,-0.055
180,250,f4,-0.05,-0.064
250,315,f4,-0.056,-0.072
315,400,f4,-0.062,-0.08
400,500,f4,-0.068,-0.088
0,3,f5,-0.006,-0.01
3,6,f5,-0.01,-0.015
6,10,f5,-0.013,-0.019
10,18,f5,-0.016,-0.024
18,30,f5,-0.02,-0.029
30,50,f5,-0.025,-0.036
50,80,f5,-0.03,-0.043
80,120,f5,-0.036,-0.051
120,180,f5,-0.043,-0.061
180,250,f5,-0.05,-0.07
250,315,f5,-0.056,-0.079
315,400,f5,-0.062,-0.087
400,500,f5,-0.068,-0.095
0,3,f6,-0.006,-0.012
3,6,f6,-0.01,-0.018
6,10,f6,-0.013,-0.022
10,18,f6,-0.016,-0.027
18,30,f6,-0.02,-0.033
30,50,f6,-0.025,-0.041
50,80,f6,-0.03,-0.049
80,120,f6,-0.036,-0.058
120,180,f6,-0.043,-0.068
180,250,f6,-0.05,-0.079
250,315,f6,-0.056,-0.088
315,400,f6,-0.062,-0.098
400,500,f6,-0.068,-0.108
500,630,f6,-0.076,-0.12
630,800,f6,-0.08,-0.13
800,1000,f6,-0.086,-0.142
1000,1250,f6,-0.098,-0.164
1250,1600,f6,-0.11,-0.188
1600,2000,f6,-0.12,-0.212
2000,2500,f6,-0.13,-0.24
2500,3150,f6,-0.145,-0.28
0,3,f7,-0.006,-0.016
3,6,f7,-0.01,-0.022
6,10,f7,-0.013,-0.028
10,18,f7,-0.016,-0.034
18,30,f7,-0.02,-0.041
30,50,f7,-0.025,-0.05
50,80,f7,-0.03,-0.06
80,120,f7,-0.036,-0.071
120,180,f7,-0.043,-0.083
180,250,f7,-0.05,-0.096
250,315,f7,-0.056,-0.108
315,400,f7,-0.062,-0.119
400,500,f7,-0.068,-0.131
500,630,f7,-0.076,-0.146
630,800,f7,-0.08,-0.16
800,1000,f7,-0.086,-0.176
1000,1250,f7,-0.098,-0.203
1250,1600,f7,-0.11,-0.235
1600,2000,f7,-0.12,-0.27
2000,2500,f7,-0.13,-0.305
2500,3150,f7,-0.145,-0.355
0,3,f8,-0.006,-0.02
3,6,f8,-0.01,-0.028
6,10,f8,-0.013,-0.035
10,18,f8,-0.016,-0.043
18,30,f8,-0.02,-0.053
30,50,f8,-0.025,-0.064
50,80,f8,-0.03,-0.076
80,120,f8,-0.036,-0.09
120,180,f8,-0.043,-0.106
180,250,f8,-0.05,-0.122
250,315,f8,-0.056,-0.137
315,400,f8,-0.062,-0.151
400,500,f8,-0.068,-0.165
500,630,f8,-0.076,-0.186
630,800,f8,-0.08,-0.205
800,1000,f8,-0.086,-0.226
1000,1250,f8,-0.098,-0.263
1250,1600,f8,-0.11,-0.305
1600,2000,f8,-0.12,-0.35
2000,2500,f8,-0.13,-0.41
2500,3150,f8,-0.145,-0.475
0,3,f9,-0.006,-0.031
3,6,f9,-0.01,-0.04
6,10,f9,-0.013,-0.049
10,18,f9,-0.016,-0.059
18,30,f9,-0.02,-0.072
30,50,f9,-0.025,-0.087
50,80,f9,-0.03,-0.104
80,120,f9,-0.036,-0.123
120,180,f9,-0.043,-0.143
180,250,f9,-0.05,-0.165
250,315,f9,-0.056,-0.186
315,400,f9,-0.062,-0.202
400,500,f9,-0.068,-0.223
500,630,f9,-0.076,-0.251
630,800,f9,-0.08,-0.28
800,1000,f9,-0.086,-0.316
1000,1250,f9,-0.098,-0.358
1250,1600,f9,-0.11,-0.42
1600,2000,f9,-0.12,-0.49
2000,2500,f9,-0.13,-0.57
2500,3150,f9,-0.145,-0.685
0,3,fg10,-0.004,-0.044
3,6,fg10,-0.006,-0.054
6,10,fg10,-0.008,-0.066
0,3,fg3,-0.004,-0.006
3,6,fg3,-0.006,-0.0085
6,10,fg3,-0.008,-0.0105
0,3,fg4,-0.004,-0.007
3,6,fg4,-0.006,-0.01
6,10,fg4,-0.008,-0.012
0,3,fg5,-0.004,-0.008
3,6,fg5,-0.006,-0.011
6,10,fg5,-0.008,-0.014
0,3,fg6,-0.004,-0.01
3,6,fg6,-0.006,-0.014
6,10,fg6,-0.008,-0.017
0,3,fg7,-0.004,-0.014
3,6,fg7,-0.006,-0.018
6,10,fg7,-0.008,-0.023
0,3,fg8,-0.004,-0.018
3,6,fg8,-0.006,-0.024
6,10,fg8,-0.008,-0.03
0,3,fg9,-0.004,-0.029
3,6,fg9,-0.006,-0.036
6,10,fg9,-0.008,-0.044
0,3,g10,-0.002,-0.042
3,6,g10,-0.004,-0.052
6,10,g10,-0.005,-0.063
10,18,g10,-0.006,-0.076
18,30,g10,-0.007,-0.091
30,50,g10,-0.009,-0.109
0,3,g3,-0.002,-0.004
3,6,g3,-0.004,-0.0065
6,10,g3,-0.005,-0.0075
10,18,g3,-0.006,-0.009
18,30,g3,-0.007,-0.011
30,50,g3,-0.009,-0.013
0,3,g4,-0.002,-0.005
3,6,g4,-0.004,-0.008
6,10,g4,-0.005,-0.009
10,18,g4,-0.006,-0.011
18,30,g4,-0.007,-0.013
30,50,g4,-0.009,-0.016
50,80,g4,-0.01,-0.018
80,120,g4,-0.012,-0.022
120,180,g4,-0.014,-0.026
180,250,g4,-0.015,-0.029
250,315,g4,-0.017,-0.033
315,400,g4,-0.018,-0.036
400,500,g4,-0.02,-0.04
0,3,g5,-0.002,-0.006
3,6,g5,-0.004,-0.009
6,10,g5,-0.005,-0.011
10,18,g5,-0.006,-0.014
18,30,g5,0.007,-0.016
30,50,g5,-0.009,-0.02
50,80,g5,-0.01,-0.023
80,120,g5,-0.012,-0.027
120,180,g5,-0.014,-0.032
180,250,g5,-0.015,-0.035
250,315,g5,-0.017,-0.04
315,400,g5,-0.018,-0.043
400,500,g5,-0.02,-0.047
0,3,g6,-0.002,-0.008
3,6,g6,-0.004,-0.012
6,10,g6,-0.005,-0.014
10,18,g6,-0.006,-0.017
18,30,g6,-0.007,-0.02
30,50,g6,-0.009,-0.025
50,80,g6,-0.01,-0.029
80,120,g6,-0.012,-0.034
120,180,g6,-0.014,-0.039
180,250,g6,-0.015,-0.044
250,315,g6,-0.017,-0.049
315,400,g6,-0.018,-0.054
400,500,g6,-0.02,-0.06
500,630,g6,-0.022,-0.066
630,800,g6,-0.024,-0.074
800,1000,g6,-0.026,-0.082
1000,1250,g6,-0.028,-0.094
1250,1600,g6,-0.03,-0.108
1600,2000,g6,-0.032,-0.124
2000,2500,g6,-0.034,-0.144
2500,3150,g6,-0.038,-0.173
0,3,g7,-0.002,-0.012
3,6,g7,-0.004,-0.016
6,10,g7,-0.005,-0.02
10,18,g7,-0.006,-0.024
18,30,g7,-0.007,-0.028
30,50,g7,-0.009,-0.034
50,80,g7,-0.01,-0.04
80,120,g7,-0.012,-0.047
120,180,g7,-0.014,-0.054
180,250,g7,-0.015,-0.061
250,315,g7,-0.017,-0.069
315,400,g7,-0.018,-0.075
400,500,g7,-0.02,-0.083
500,630,g7,-0.022,-0.092
630,800,g7,-0.024,-0.104
800,1000,g7,-0.026,-0.116
1000,1250,g7,-0.028,-0.133
1250,1600,g7,-0.03,-0.155
1600,2000,g7,-0.032,-0.182
2000,2500,g7,-0.034,-0.209
2500,3150,g7,-0.038,-0.248
0,3,g8,-0.002,-0.016
3,6,g8,-0.004,-0.022
6,10,g8,-0.005,-0.027
10,18,g8,-0.006,-0.033
18,30,g8,-0.007,-0.04
30,50,g8,-0.009,-0.048
50,80,g8,-0.01,-0.056
80,120,g8,-0.012,-0.066
120,180,g8,-0.014,-0.077
180,250,g8,-0.015,-0.087
250,315,g8,-0.017,-0.098
315,400,g8,-0.018,-0.107
400,500,g8,-0.02,-0.117
500,630,g8,-0.022,-0.132
630,800,g8,-0.024,-0.149
800,1000,g8,-0.026,-0.166
1000,1250,g8,-0.028,-0.193
1250,1600,g8,-0.03,-0.225
1600,2000,g8,-0.032,-0.262
2000,2500,g8,-0.034,-0.314
2500,3150,g8,-0.038,-0.368
0,3,g9,-0.002,-0.027
3,6,g9,-0.004,-0.034
6,10,g9,-0.005,-0.041
10,18,g9,-0.006,-0.049
18,30,g9,-0.007,-0.059
30,50,g9,-0.009,-0.071
0,3,h1,0.0,-0.0008
3,6,h1,0.0,-0.001
6,10,h1,0.0,-0.001
10,18,h1,0.0,-0.0012
18,30,h1,0.0,-0.0015
30,50,h1,0.0,-0.0015
50,80,h1,0.0,-0.002
80,120,h1,0.0,-0.0025
120,180,h1,0.0,-0.0035
180,250,h1,0.0,-0.0045
250,315,h1,0.0,-0.006
315,400,h1,0.0,-0.007
400,500,h1,0.0,-0.008
500,630,h1,0.0,-0.009
630,800,h1,0.0,-0.01
800,1000,h1,0.0,-0.011
1000,1250,h1,0.0,-0.013
1250,1600,h1,0.0,-0.015
1600,2000,h1,0.0,-0.018
2000,2500,h1,0.0,-0.022
2500,3150,h1,0.0,-0.026
0,3,h10,0.0,-0.04
3,6,h10,0.0,-0.048
6,10,h10,0.0,-0.058
10,18,h10,0.0,-0.07
18,30,h10,0.0,-0.084
30,50,h10,0.0,-0.1
50,80,h10,0.0,-0.12
80,120,h10,0.0,-0.14
120,180,h10,0.0,-0.16
180,250,h10,0.0,-0.185
250,315,h10,0.0,-0.21
315,400,h10,0.0,-0.23
400,500,h10,0.0,-0.25
500,630,h10,0.0,-0.28
630,800,h10,0.0,-0.32
800,1000,h10,0.0,-0.36
1000,1250,h10,0.0,-0.42
1250,1600,h10,0.0,-0.5
1600,2000,h10,0.0,-0.6
2000,2500,h10,0.0,-0.7
2500,3150,h10,0.0,-0.86
0,3,h11,0.0,-0.06
3,6,h11,0.0,-0.075
6,10,h11,0.0,-0.09
10,18,h11,0.0,-0.11
18,30,h11,0.0,-0.13
30,50,h11,0.0,-0.16
50,80,h11,0.0,-0.19
80,120,h11,0.0,-0.22
120,180,h11,0.0,-0.25
180,250,h11,0.0,-0.29
250,315,h11,0.0,-0.32
315,400,h11,0.0,-0.36
400,500,h11,0.0,-0.4
500,630,h11,0.0,-0.44
630,800,h11,0.0,-0.5
800,1000,h11,0.0,-0.56
1000,1250,h11,0.0,-0.66
1250,1600,h11,0.0,-0.78
1600,2000,h11,0.0,-0.92
2000,2500,h11,0.0,-1.1
2500,3150,h11,0.0,-1.35
0,3,h12,0.0,-0.1
3,6,h12,0.0,-0.12
6,10,h12,0.0,-0.15
10,18,h12,0.0,-0.18
18,30,h12,0.0,-0.21
30,50,h12,0.0,-0.25
50,80,h12,0.0,-0.3
80,120,h12,0.0,-0.35
120,180,h12,0.0,-0.4
180,250,h12,0.0,-0.46
250,315,h12,0.0,-0.52
315,400,h12,0.0,-0.57
400,500,h12,0.0,-0.63
500,630,h12,0.0,-0.7
630,800,h12,0.0,-0.8
800,1000,h12,0.0,-0.9
1000,1250,h12,0.0,-1.05
1250,1600,h12,0.0,-1.25
1600,2000,h12,0.0,-1.5
2000,2500,h12,0.0,-1.75
2500,3150,h12,0.0,-2.1
0,3,h13,0.0,-0.14
3,6,h13,0.0,-0.18
6,10,h13,0.0,-0.22
10,18,h13,0.0,-0.27
18,30,h13,0.0,-0.33
30,50,h13,0.0,-0.39
50,80,h13,0.0,-0.46
80,120,h13,0.0,-0.54
120,180,h13,0.0,-0.63
180,250,h13,0.0,-0.72
250,315,h13,0.0,-0.81
315,400,h13,0.0,-0.89
400,500,h13,0.0,-0.97
500,630,h13,0.0,-1.1
630,800,h13,0.0,-1.25
800,1000,h13,0.0,-1.4
1000,1250,h13,0.0,-1.65
1250,1600,h13,0.0,-1.95
1600,2000,h13,0.0,-2.3
2000,2500,h13,0.0,-2.8
2500,3150,h13,0.0,-3.3
0,3,h14,0.0,-0.25
3,6,h14,0.0,-0.3
6,10,h14,0.0,-0.36
10,18,h14,0.0,-0.43
18,30,h14,0.0,-0.52
30,50,h14,0.0,-0.62
50,80,h14,0.0,-0.74
80,120,h14,0.0,-0.87
120,180,h14,0.0,-1.0
180,250,h14,0.0,-1.15
250,315,h14,0.0,-1.3
315,400,h14,0.0,-1.4
400,500,h14,0.0,-1.55
500,630,h14,0.0,-1.75
630,800,h14,0.0,-2.0
800,1000,h14,0.0,-2.3
1000,1250,h14,0.0,-2.6
1250,1600,h14,0.0,-3.1
1600,2000,h14,0.0,-3.7
2000,2500,h14,0.0,-4.4
2500,3150,h14,0.0,-5.4
0,3,h15,0.0,-0.4
3,6,h15,0.0,-0.48
6,10,h15,0.0,-0.58
10,18,h15,0.0,-0.7
18,30,h15,0.0,-0.84
30,50,h15,0.0,-1.0
50,80,h15,0.0,-1.2
80,120,h15,0.0,-1.4
120,180,h15,0.0,-1.6
180,250,h15,0.0,-1.85
250,315,h15,0.0,-2.1
315,400,h15,0.0,-2.3
400,500,h15,0.0,-2.5
500,630,h15,0.0,-2.8
630,800,h15,0.0,-3.2
800,1000,h15,0.0,-3.6
1000,1250,h15,0.0,-4.2
1250,1600,h15,0.0,-5.0
1600,2000,h15,0.0,-6.0
2000,2500,h15,0.0,-7.0
2500,3150,h15,0.0,-8.6
0,3,h16,0.0,-0.6
3,6,h16,0.0,-0.75
6,10,h16,0.0,-0.9
10,18,h16,0.0,-1.1
18,30,h16,0.0,-1.3
30,50,h16,0.0,-1.6
50,80,h16,0.0,-1.9
80,120,h16,0.0,-2.2
120,180,h16,0.0,-2.5
180,250,h16,0.0,-2.9
250,315,h16,0.0,-3.2
315,400,h16,0.0,-3.6
400,500,h16,0.0,-4.0
500,630,h16,0.0,-4.4
630,800,h16,0.0,-5.0
800,1000,h16,0.0,-5.6
1000,1250,h16,0.0,-6.6
1250,1600,h16,0.0,-7.8
1600,2000,h16,0.0,-9.2
2000,2500,h16,0.0,-11.0
2500,3150,h16,0.0,-13.5
3,6,h17,0.0,-1.2
6,10,h17,0.0,-1.5
10,18,h17,0.0,-1.8
18,30,h17,0.0,-2.1
30,50,h17,0.0,-2.5
50,80,h17,0.0,-3.0
80,120,h17,0.0,-3.8
120,180,h17,0.0,-4.0
180,250,h17,0.0,-4.6
250,315,h17,0.0,-5.2
315,400,h17,0.0,-5.7
400,500,h17,0.0,-6.3
500,630,h17,0.0,-7.0
630,800,h17,0.0,-8.0
800,1000,h17,0.0,-9.0
1000,1250,h17,0.0,-10.5
1250,1600,h17,0.0,-12.5
1600,2000,h17,0.0,-15.0
2000,2500,h17,0.0,-17.5
2500,3150,h17,0.0,-21.0
3,6,h18,0.0,-1.8
6,10,h18,0.0,-2.2
10,18,h18,0.0,-2.7
18,30,h18,0.0,-3.3
30,50,h18,0.0,-3.9
50,80,h18,0.0,-4.6
80,120,h18,0.0,-5.4
120,180,h18,0.0,-6.3
180,250,h18,0.0,-7.2
250,315,h18,0.0,-8.1
315,400,h18,0.0,-8.9
400,500,h18,0.0,-9.7
500,630,h18,0.0,-11.0
630,800,h18,0.0,-12.5
800,1000,h18,0.0,-14.0
1000,1250,h18,0.0,-16.5
1250,1600,h18,0.0,-19.5
1600,2000,h18,0.0,-23.0
2000,2500,h18,0.0,-28.0
2500,3150,h18,0.0,-33.0
0,3,h2,0.0,-0.0012
3,6,h2,0.0,-0.0015
6,10,h2,0.0,-0.0015
10,18,h2,0.0,-0.002
18,30,h2,0.0,-0.0025
30,50,h2,0.0,-0.0025
50,80,h2,0.0,-0.003
80,120,h2,0.0,-0.004
120,180,h2,0.0,-0.005
180,250,h2,0.0,-0.007
250,315,h2,0.0,-0.008
315,400,h2,0.0,-0.009
400,500,h2,0.0,-0.01
500,630,h2,0.0,-0.011
630,800,h2,0.0,-0.013
800,1000,h2,0.0,-0.015
1000,1250,h2,0.0,-0.018
1250,1600,h2,0.0,-0.021
1600,2000,h2,0.0,-0.025
2000,2500,h2,0.0,-0.03
2500,3150,h2,0.0,-0.036
0,3,h3,0.0,-0.002
3,6,h3,0.0,-0.0025
6,10,h3,0.0,-0.0025
10,18,h3,0.0,-0.003
18,30,h3,0.0,-0.004
30,50,h3,0.0,-0.004
50,80,h3,0.0,-0.005
80,120,h3,0.0,-0.006
120,180,h3,0.0,-0.008
180,250,h3,0.0,-0.01
250,315,h3,0.0,-0.012
315,400,h3,0.0,-0.013
400,500,h3,0.0,-0.015
500,630,h3,0.0,-0.016
630,800,h3,0.0,-0.018
800,1000,h3,0.0,-0.021
1000,1250,h3,0.0,-0.024
1250,1600,h3,0.0,-0.029
1600,2000,h3,0.0,-0.035
2000,2500,h3,0.0,-0.041
2500,3150,h3,0.0,-0.05
0,3,h4,0.0,-0.003
3,6,h4,0.0,-0.004
6,10,h4,0.0,-0.004
10,18,h4,0.0,-0.005
18,30,h4,0.0,-0.006
30,50,h4,0.0,-0.007
50,80,h4,0.0,-0.008
80,120,h4,0.0,-0.01
120,180,h4,0.0,-0.012
180,250,h4,0.0,-0.014
250,315,h4,0.0,-0.016
315,400,h4,0.0,-0.018
400,500,h4,0.0,-0.02
500,630,h4,0.0,-0.022
630,800,h4,0.0,-0.025
800,1000,h4,0.0,-0.028
1000,1250,h4,0.0,-0.033
1250,1600,h4,0.0,-0.039
1600,2000,h4,0.0,-0.046
2000,2500,h4,0.0,-0.055
2500,3150,h4,0.0,-0.068
0,3,h5,0.0,-0.004
3,6,h5,0.0,-0.005
6,10,h5,0.0,-0.006
10,18,h5,0.0,-0.008
18,30,h5,0.0,-0.009
30,50,h5,0.0,-0.011
50,80,h5,0.0,-0.013
80,120,h5,0.0,-0.015
120,180,h5,0.0,-0.018
180,250,h5,0.0,-0.02
250,315,h5,0.0,-0.023
315,400,h5,0.0,-0.025
400,500,h5,0.0,-0.027
500,630,h5,0.0,-0.032
630,800,h5,0.0,-0.036
800,1000,h5,0.0,-0.04
1000,1250,h5,0.0,-0.047
1250,1600,h5,0.0,-0.055
1600,2000,h5,0.0,-0.065
2000,2500,h5,0.0,-0.078
2500,3150,h5,0.0,-0.096
0,3,h6,0.0,-0.006
3,6,h6,0.0,-0.008
6,10,h6,0.0,-0.009
10,18,h6,0.0,-0.011
18,30,h6,0.0,-0.013
30,50,h6,0.0,-0.016
50,80,h6,0.0,-0.019
80,120,h6,0.0,-0.022
120,180,h6,0.0,-0.025
180,250,h6,0.0,-0.029
250,315,h6,0.0,-0.032
315,400,h6,0.0,-0.036
400,500,h6,0.0,-0.04
500,630,h6,0.0,-0.044
630,800,h6,0.0,-0.05
800,1000,h6,0.0,-0.056
1000,1250,h6,0.0,-0.066
1250,1600,h6,0.0,-0.078
1600,2000,h6,0.0,-0.092
2000,2500,h6,0.0,-0.11
2500,3150,h6,0.0,-0.135
0,3,h7,0.0,-0.01
3,6,h7,0.0,-0.012
6,10,h7,0.0,-0.015
10,18,h7,0.0,-0.018
18,30,h7,0.0,-0.021
30,50,h7,0.0,-0.025
50,80,h7,0.0,-0.03
80,120,h7,0.0,-0.035
120,180,h7,0.0,-0.04
180,250,h7,0.0,-0.046
250,315,h7,0.0,-0.052
315,400,h7,0.0,-0.057
400,500,h7,0.0,-0.063
500,630,h7,0.0,-0.07
630,800,h7,0.0,-0.08
800,1000,h7,0.0,-0.09
1000,1250,h7,0.0,-0.105
1250,1600,h7,0.0,-0.125
1600,2000,h7,0.0,-0.15
2000,2500,h7,0.0,-0.175
2500,3150,h7,0.0,-0.21
0,3,h8,0.0,-0.014
3,6,h8,0.0,-0.018
6,10,h8,0.0,-0.022
10,18,h8,0.0,-0.027
18,30,h8,0.0,-0.033
30,50,h8,0.0,-0.039
50,80,h8,0.0,-0.046
80,120,h8,0.0,-0.054
120,180,h8,0.0,-0.063
180,250,h8,0.0,-0.072
250,315,h8,0.0,-0.081
315,400,h8,0.0,-0.089
400,500,h8,0.0,-0.097
500,630,h8,0.0,-0.11
630,800,h8,0.0,-0.125
800,1000,h8,0.0,-0.14
1000,1250,h8,0.0,-0.165
1250,1600,h8,0.0,-0.195
1600,2000,h8,0.0,-0.23
2000,2500,h8,0.0,-0.28
2500,3150,h8,0.0,-0.33
0,3,h9,0.0,-0.025
3,6,h9,0.0,-0.03
6,10,h9,0.0,-0.036
10,18,h9,0.0,-0.043
18,30,h9,0.0,-0.052
30,50,h9,0.0,-0.062
50,80,h9,0.0,-0.074
80,120,h9,0.0,-0.087
120,180,h9,0.0,-0.1
180,250,h9,0.0,-0.115
250,315,h9,0.0,-0.13
315,400,h9,0.0,-0.14
400,500,h9,0.0,-0.155
500,630,h9,0.0,-0.175
630,800,h9,0.0,-0.2
800,1000,h9,0.0,-0.23
1000,1250,h9,0.0,-0.26
1250,1600,h9,0.0,-0.31
1600,2000,h9,0.0,-0.37
2000,2500,h9,0.0,-0.44
2500,3150,h9,0.0,-0.54
0,3,j5,0.002,-0.002
3,6,j5,0.003,-0.002
6,10,j5,0.004,-0.002
10,18,j5,0.005,-0.003
18,30,j5,0.005,-0.004
30,50,j5,0.006,-0.005
50,80,j5,0.006,-0.007
80,120,j5,0.006,-0.009
120,180,j5,0.007,-0.011
180,250,j5,0.007,-0.013
250,315,j5,0.007,-0.016
315,400,j5,0.007,-0.018
400,500,j5,0.007,-0.02
0,3,j6,0.004,-0.002
3,6,j6,0.006,-0.002
6,10,j6,0.007,-0.002
10,18,j6,0.008,-0.003
18,30,j6,0.009,-0.004
30,50,j6,0.011,-0.005
50,80,j6,0.012,-0.007
80,120,j6,0.013,-0.009
120,180,j6,0.014,-0.011
180,250,j6,0.016,-0.013
250,315,j6,0.016,-0.016
315,400,j6,0.018,-0.018
400,500,j6,0.02,-0.02
0,3,j7,0.006,-0.004
3,6,j7,0.008,-0.004
6,10,j7,0.01,-0.005
10,18,j7,0.012,-0.006
18,30,j7,0.013,-0.008
30,50,j7,0.015,-0.01
50,80,j7,0.018,-0.012
80,120,j7,0.02,-0.015
120,180,j7,0.022,-0.018
180,250,j7,0.025,-0.021
250,315,j7,0.026,-0.026
315,400,j7,0.029,-0.028
400,500,j7,0.031,-0.032
0,3,j8,0.008,-0.006
0,3,js1,0.0004,-0.0004
3,6,js1,0.0005,-0.0005
6,10,js1,0.0005,-0.0005
10,18,js1,0.0006,-0.0006
18,30,js1,0.00075,-0.00075
30,50,js1,0.00075,-0.00075
50,80,js1,0.001,-0.001
