Г1;n5;;
T1;m5;;
Н1;k5;;
П1;js5;;
С1;h5;;
В1;h5;;
Д1;g5;;
Х1;f6;;
Г;n6;;
Т;m6;;
Н;k6;;
П;js6;;
С;h6;;
В;h6;;
Д;g6;;
Х;f7;;
Л;e8;;
Ш;d8;;
ТХ;c8;;
Г2а;n7;;
Т2а;m7;;
Н2а;k7;;
П2а;js7;;
С2а;h7;;
В2а;h7;;
Х2а;f8;;
С3;h8;;
С3;h9;;
В3;h8;;
В3;h9;;
Х3;f9;;
Х3;e9;;
Ш3;d9;;
С3а;h10;;
В3а;h10;;
С4;h11;;
В4;h11;;
Х4;d11;;
Л4;b11;;
Л4;c11;;
Ш4;a11;;
Ш4;b11;;
С5;h12;;
В5;h12;;
Х5;b12;;
В7;h14;;
СМ7;js14;;
В8;h15;;
СМ8;js15;;
В9;h16;;
СМ9;js16;;
Г1;N6;;
Т1;M6;;
Н1;K6;;
П1;JS6;;
С1;H6;;
А1;H6;;
Д1;G6;;
Х1;F7;;
Г;N7;;
Т;M7;;
Н;K7;;
П;JS7;;
С;H7;;
А;H7;;
Д;G7;;
Х;F8;;
Л;D8;;
Ш;E8;;
Г2а;N8;;
Т2а;M8;;
Н2а;K8;;
П2а;JS8;;
С2а;H8;;
А2а;H8;;
С3;H8;;
А3;H8;;
С3;H9;;
А3;H9;;
Х3;F9;;
Х3;E9;;
Ш3;D9;;
Ш3;D10;;
С3а;H10;;
А3а;H10;;
С4;H11;;
А4;H11;;
Х4;D11;;
Л4;B11;;
Л4;C11;;
Ш4;A11;;
Ш4;B11;;
С5;H12;;
А5;H12;;
Х5;B12;;
А7;H14;;
А8;H15;;
А9;H16;;
Пр21;s5;;
Пр11;r5;;
Гр;u7;;
Пр;r6;;
Пр;s6;;
Пл;p6;;
Пл;r6;;
Тх;c8;;
Пр22а;u8;;
Пр12а;s7;;
Пр33;z8;;
Пр33;x8;;
Пр23;x8;;
Пр23;u8;;
Пр13;u8;;
Пр13;s7;;
Гр;T7;;
Гр;U8;;
Пр;R7;;
Пр;S7;;
Пр22а;U8;;
